Exam Group,Exam Block,adj_block
72-0103,14,14
1-9185,15,15
MLG17,5,5
1-8222,1,1
1-6240,3,3
1-5549,12,12
1-8021,8,8
1-8767,12,12
1-8181,1,1
1-8020,8,8
1-7964,18,18
1-9722,11,11
MLG84,20,20
1-9805,21,21
1-6098,1,1
1-8093,11,11
1-9955,3,3
1-18603,1,1
1-3521,4,4
1-2596,3,3
1-5167,11,11
1-3519,5,5
1-7995,14,14
1-2025,13,13
1-7140,4,4
1-9607,18,18
1-9907,4,4
1-18409,10,10
1-10071,8,8
1-18735,1,1
1-8418,11,11
1-8938,20,20
1-0022,8,8
1-7991,20,20
1-6642,7,7
1-2869,2,2
1-2714,20,20
1-5508,2,2
1-2104,19,19
1-7467,11,11
1-7722,6,6
1-7509,7,7
1-1207,19,19
1-8705,9,9
1-5214,6,6
1-9444,1,1
1-8566,1,1
1-19547,20,20
1-0405,4,4
1-2178,11,11
1-8174,12,12
1-9925,12,12
72-12387,10,10
1-9850,17,17
1-8125,8,8
1-8095,2,2
1-5877,5,5
1-1224,12,12
1-17733,12,12
1-9331,7,7
1-18202,8,8
1-7341,2,2
1-9818,14,14
1-7066,15,15
1-9674,12,12
1-8659,7,7
1-7536,3,3
1-7481,19,19
1-7845,8,8
1-18498,5,5
1-2584,18,18
1-6532,4,4
1-9614,1,1
1-5355,21,21
1-8124,18,18
1-8401,15,15
1-8541,11,11
1-2153,13,13
1-4088,2,2
1-9739,19,19
1-9115,13,13
1-7770,7,7
1-17645,7,7
1-18423,18,18
1-18714,13,13
1-8084,1,1
1-9345,1,1
MLG35,9,9
1-5626,21,21
1-18004,8,8
1-19222,4,4
72-12171,16,16
1-7807,6,6
1-20003,1,1
1-3083,5,5
1-3312,12,12
MLG37,9,9
1-9237,7,7
1-8127,7,7
1-5775,5,5
1-19598,1,1
1-9892,5,5
1-3564,21,21
1-8820,16,16
1-8267,14,14
1-1258,21,21
MLG69,5,5
1-6971,17,17
1-9731,5,5
1-9768,5,5
72-18936,17,17
1-19897,6,6
1-10698,7,7
1-4499,21,21
1-7496,6,6
1-3178,17,17
1-20047,1,1
1-0358,11,11
1-6543,9,9
1-5929,11,11
1-10232,11,11
1-7070,3,3
MLG42,3,3
MLG55,2,2
1-8427,3,3
1-8622,19,19
1-8488,8,8
1-9643,20,20
1-19286,9,9
1-2573,9,9
1-1833,17,17
1-9283,19,19
1-9110,9,9
1-8576,19,19
1-9465,4,4
1-9712,4,4
1-9549,10,10
1-1972,2,2
1-5515,3,3
1-7863,21,21
1-2294,16,16
MLG45,9,9
P-16454,5,5
1-8928,20,20
1-7744,10,10
MLG06,18,18
1-7453,1,1
1-17657,14,14
1-0001,5,5
MLG58,14,14
1-7005,13,13
1-9870,3,3
1-9500,5,5
1-1350,3,3
1-18994,18,18
1-9447,13,13
1-8634,3,3
1-6061,1,1
1-7599,14,14
1-10696,15,15
1-19813,4,4
MLG41,14,14
1-8067,12,12
1-9137,8,8
1-9740,4,4
1-7721,14,14
MLG40,9,9
1-4929,1,1
1-9655,4,4
1-9606,1,1
1-5043,21,21
1-8100,20,20
1-8573,12,12
1-9588,6,6
MLG38,16,16
1-4910,11,11
1-8042,16,16
1-10948,16,16
1-7525,13,13
1-4052,9,9
1-0037,21,21
1-8641,17,17
1-7752,19,19
1-9496,1,1
1-8074,8,8
1-8906,17,17
72-11994,16,16
1-7321,2,2
1-20167,1,1
1-9156,15,15
1-2382,7,7
1-8328,15,15
1-9770,7,7
1-9553,6,6
1-9253,19,19
1-2670,9,9
1-9646,1,1
1-8646,8,8
1-9839,9,9
MLG39,9,9
1-4634,15,15
1-9902,2,2
1-8988,4,4
1-1250,4,4
1-9733,10,10
1-8018,19,19
1-9752,2,2
1-7058,21,21
1-10468,12,12
1-9938,12,12
1-7842,8,8
1-5406,6,6
1-10922,4,4
1-18563,11,11
1-0053,1,1
1-19839,1,1
1-9887,18,18
1-9630,9,9
1-9416,7,7
1-5653,12,12
MLG73,10,10
1-8023,10,10
1-4149,13,13
1-0205,17,17
1-9227,13,13
1-9650,16,16
1-9996,2,2
1-3068,6,6
1-17835,10,10
1-4361,14,14
1-3089,10,10
1-8450,15,15
1-18371,7,7
MLG07,17,17
MLG29,1,1
1-8113,19,19
1-7024,19,19
1-9667,2,2
1-9855,19,19
1-7042,6,6
MLG33,11,11
1-19448,15,15
1-20791,5,5
1-1015,6,6
MLG57,2,2
1-6647,11,11
MLG56,20,20
1-20467,10,10
1-2400,18,18
1-6931,4,4
1-9333,18,18
1-7268,3,3
1-21195,8,8
1-4649,17,17
1-8379,1,1
1-9946,12,12
1-9277,13,13
1-9504,2,2
1-9516,13,13
1-3596,5,5
1-0129,21,21
1-1942,3,3
1-8623,8,8
1-6927,12,12
P-0009,7,7
1-11330,18,18
1-2103,2,2
1-6181,10,10
MLG44,14,14
1-7839,5,5
1-1390,7,7
1-7897,15,15
1-1570,21,21
1-3589,15,15
1-0033,1,1
1-3216,19,19
1-9495,12,12
1-4051,1,1
1-10762,1,1
MLG43,2,2
1-7608,4,4
1-9995,10,10
1-1608,15,15
1-3535,7,7
1-4136,14,14
1-18615,3,3
1-3587,20,20
1-9836,20,20
1-8590,5,5
1-1592,7,7
1-8341,13,13
MLG02,10,10
1-9997,2,2
1-8066,18,18
1-3509,10,10
1-3639,2,2
1-9404,12,12
1-8352,19,19
1-7019,3,3
MLG54,17,17
1-4020,3,3
1-1177,10,10
MLG51,20,20
1-8157,15,15
1-19004,10,10
1-7866,11,11
1-18377,20,20
1-5530,19,19
1-6743,7,7
1-3516,6,6
1-4855,3,3
1-20578,15,15
1-3108,5,5
1-7521,7,7
1-3139,13,13
1-1769,12,12
1-7441,21,21
1-10978,13,13
1-2324,15,15
1-3584,1,1
MLG13,13,13
1-5172,21,21
1-0296,8,8
1-3647,4,4
1-6734,21,21
1-19924,16,16
1-8826,6,6
P-16616,17,17
1-9497,1,1
1-1317,12,12
1-4531,13,13
